thisRow.t	notes	TrialNumber	WarningType	TargetType	FlankingType	TargetDirection	CorrectAnswer	fixationStart_onsetTime	cue_onsetTime	fixationMiddle_onsetTime	target_onsetTime	reaction_time	RT	response	ACC	fixationEnd_onsetTime	subID	sessionID	time	
		34	center	down	congruent	right	j	0.01089258398860693	0.027920291991904378	0.2322838339896407	0.5385967920010444	1.1975864999985788	0.6589897079975344	j	1	0.5385967920010444	000	prac	2024-07-07_23:58:46	
		18	cue	up	congruent	left	f	5.010330916993553	5.024261749989819	5.22825987500255	10.037811166985193	10.753428666997934	0.7156175000127405	f	1	10.037811166985193	000	prac	2024-07-07_23:58:46	
		11	center	down	incongruent	left	f	13.260800958989421	13.271867709001526	13.475995374988997	13.78223725000862	14.519831833982607	0.737594583973987	f	1	13.78223725000862	000	prac	2024-07-07_23:58:46	
		21	center	up	incongruent	right	j	17.00160504199448	17.01114758400945	17.215549416985596	18.77133691700874	19.3971510840056	0.6258141669968609	j	1	18.77133691700874	000	prac	2024-07-07_23:58:46	
		1	cue	up	congruent	right	j	22.493547874997603	22.506134333991213	22.71024945899262	23.51556595900911	24.013162708986783	0.49759674997767434	j	1	23.51556595900911	000	prac	2024-07-07_23:58:46	
		15	cue	up	incongruent	left	f	27.98517216698383	27.99576266700751	28.200144250004087	30.506000041990774	31.073004125006264	0.5670040830154903	f	1	30.506000041990774	000	prac	2024-07-07_23:58:46	
		22	no	down	incongruent	left	f	33.97618674999103	33.989810125000076	34.193716125009814	34.998501333990134	35.69203683399246	0.6935355000023264	f	1	34.998501333990134	000	prac	2024-07-07_23:58:46	
		23	no	down	congruent	right	j	38.96852995900554	38.97850362499594	39.182861292007146	45.740761458990164	46.266817875002744	0.5260564160125796	j	1	45.740761458990164	000	prac	2024-07-07_23:58:46	
		17	cue	down	incongruent	left	f	60.71262095900602	60.7237604999973	60.928020124993054	62.48458162500174	63.03434341700631	0.5497617920045741	f	1	62.48458162500174	000	prac	2024-07-07_23:58:46	
		31	cue	up	incongruent	right	j	72.45850162499119	72.47417199998745	72.67844287501066	73.73765866699978	74.33139116698294	0.5937324999831617	j	1	73.73765866699978	000	prac	2024-07-07_23:58:46	
		4	no	down	congruent	left	f	78.71023283401155	78.72388999999384	78.92793833400356	79.48426145900157	80.070242124988	0.5859806659864262	f	1	79.48426145900157	000	prac	2024-07-07_23:58:46	
		9	no	up	incongruent	right	j	87.45622137500322	87.47315341699868	87.67730962499627	92.48582345899194	93.35074858399457	0.8649251250026282	j	1	92.48582345899194	000	prac	2024-07-07_23:58:46	
		29	center	up	incongruent	right	j	98.95740399998613	98.9720874170016	99.17627858399646	101.48436008399585	102.66955479199532	1.1851947079994716	j	1	101.48436008399585	000	prac	2024-07-07_23:58:46	
		32	center	down	congruent	right	j	111.45682866699644	111.46737204201054	111.67187737498898	118.22914325000602	118.73406616700231	0.5049229169962928	j	1	118.22914325000602	000	prac	2024-07-07_23:58:46	
		1	center	up	incongruent	right	j	123.20102487498662	123.21150637499522	123.41560070900596	124.22070549998898	124.84898120898288	0.6282757089938968	j	1	124.22070549998898	000	prac	2024-07-07_23:58:46	
		10	no	down	incongruent	left	f	128.69258624999202	128.70518558399635	128.90942045900738	131.21834470899194	131.84197083400795	0.6236261250160169	f	1	131.21834470899194	000	prac	2024-07-07_23:58:46	
		5	cue	down	congruent	left	f	134.18863245900138	134.19827304198407	134.4025178340089	134.7090795839904	135.2781681669876	0.5690885829972103	f	1	134.7090795839904	000	prac	2024-07-07_23:58:46	
		1	center	up	congruent	right	j	149.6807044169982	149.69104812500882	149.89535587499267	150.70036245899973	151.2384800419968	0.5381175829970744	j	1	150.70036245899973	000	prac	2024-07-07_23:58:46	
		27	cue	up	congruent	right	j	155.17060733400285	155.18047041699174	155.38482766700326	167.19201041699853	167.7642414169968	0.5722309999982826	j	1	167.19201041699853	000	prac	2024-07-07_23:58:46	
		27	cue	down	incongruent	right	j	170.16414966699085	170.17162404200644	170.37518895900575	182.18364120900515	182.76955574998283	0.5859145409776829	j	1	182.18364120900515	000	prac	2024-07-07_23:58:46	
		27	center	up	incongruent	right	j	185.15561095898738	185.16564933399786	185.36968637499376	197.1786625419918	197.75149274998694	0.5728302079951391	j	1	197.1786625419918	000	prac	2024-07-07_23:58:46	
		26	no	up	incongruent	left	f	200.15076579200104	200.15560095899855	200.36007324999082	200.66521425000974	201.34852729199338	0.683313041983638	f	1	200.66521425000974	000	prac	2024-07-07_23:58:46	
		31	center	down	incongruent	left	f	203.88660058399546	203.89638362498954	204.10051933399518	205.1575477090082	205.59923950000666	0.4416917909984477	j	0	205.1575477090082	000	prac	2024-07-07_23:58:46	
